"TIME","GEO","INTRT","Value","Flag and Footnotes"
"2016M04","Bulgaria","EMU convergence criterion bond yields","2.44",""
"2016M05","Bulgaria","EMU convergence criterion bond yields","2.37",""
"2016M06","Bulgaria","EMU convergence criterion bond yields","2.40",""
"2016M07","Bulgaria","EMU convergence criterion bond yields","2.39",""
"2016M08","Bulgaria","EMU convergence criterion bond yields","2.28",""
"2016M09","Bulgaria","EMU convergence criterion bond yields","2.15",""
"2016M10","Bulgaria","EMU convergence criterion bond yields",":",""
"2000M01","Czech Republic","EMU convergence criterion bond yields",":",""
"2000M02","Czech Republic","EMU convergence criterion bond yields",":",""
"2000M03","Czech Republic","EMU convergence criterion bond yields",":",""
"2000M04","Czech Republic","EMU convergence criterion bond yields","6.34",""
"2000M05","Czech Republic","EMU convergence criterion bond yields","6.33",""
"2000M06","Czech Republic","EMU convergence criterion bond yields","6.55",""
"2000M07","Czech Republic","EMU convergence criterion bond yields","6.87",""
"2000M08","Czech Republic","EMU convergence criterion bond yields","6.99",""
"2000M09","Czech Republic","EMU convergence criterion bond yields","7.00",""
"2000M10","Czech Republic","EMU convergence criterion bond yields","7.36",""
"2000M11","Czech Republic","EMU convergence criterion bond yields","7.59",""
"2000M12","Czech Republic","EMU convergence criterion bond yields","7.38",""
"2001M01","Czech Republic","EMU convergence criterion bond yields","6.82",""
"2001M02","Czech Republic","EMU convergence criterion bond yields","6.50",""
"2001M03","Czech Republic","EMU convergence criterion bond yields","6.24",""
"2001M04","Czech Republic","EMU convergence criterion bond yields","6.25",""
"2001M05","Czech Republic","EMU convergence criterion bond yields","6.49",""
"2001M06","Czech Republic","EMU convergence criterion bond yields","6.72",""
"2001M07","Czech Republic","EMU convergence criterion bond yields","6.85",""
"2001M08","Czech Republic","EMU convergence criterion bond yields","6.76",""
"2001M09","Czech Republic","EMU convergence criterion bond yields","6.47",""
"2001M10","Czech Republic","EMU convergence criterion bond yields","5.84",""
"2001M11","Czech Republic","EMU convergence criterion bond yields","5.40",""
"2001M12","Czech Republic","EMU convergence criterion bond yields","5.43",""
"2002M01","Czech Republic","EMU convergence criterion bond yields","5.32",""
"2002M02","Czech Republic","EMU convergence criterion bond yields","5.31",""
"2002M03","Czech Republic","EMU convergence criterion bond yields","5.55",""
"2002M04","Czech Republic","EMU convergence criterion bond yields","5.42",""
"2002M05","Czech Republic","EMU convergence criterion bond yields","5.30",""
